timestamp,open,high,low,close,volume
2008-01-02 06:00:00,3352.5,3353.75,3351.75,3353.25,184
2008-01-02 06:01:00,3353.25,3354.25,3353.25,3354.25,83
2008-01-02 06:02:00,3354.5,3355.5,3354.5,3355.0,25
2008-01-02 06:03:00,3354.75,3355.25,3354.0,3354.75,83
2008-01-02 06:04:00,3354.75,3354.75,3354.25,3354.75,52
2008-01-02 06:05:00,3355.0,3357.75,3355.0,3357.75,53
2008-01-02 06:06:00,3357.75,3358.25,3357.25,3357.75,123
2008-01-02 06:07:00,3358.0,3358.0,3354.5,3355.5,116
2008-01-02 06:08:00,3355.75,3355.75,3355.75,3355.75,3
2008-01-02 06:09:00,3356.25,3356.5,3356.25,3356.25,18
2008-01-02 06:10:00,3356.25,3356.25,3355.75,3355.75,29
2008-01-02 06:11:00,3355.75,3355.75,3355.75,3355.75,2
2008-01-02 06:12:00,3356.25,3356.25,3354.75,3355.5,39
2008-01-02 06:13:00,3356.0,3356.0,3355.5,3355.75,26
2008-01-02 06:14:00,3355.75,3355.75,3355.0,3355.25,10
2008-01-02 06:15:00,3355.5,3355.75,3355.5,3355.75,8
2008-01-02 06:16:00,3355.75,3355.75,3355.25,3355.5,4
2008-01-02 06:17:00,3355.75,3355.75,3355.75,3355.75,12
2008-01-02 06:18:00,3356.0,3356.25,3356.0,3356.25,13
2008-01-02 06:19:00,3356.0,3356.0,3355.5,3355.75,13
2008-01-02 06:20:00,3355.75,3356.25,3355.75,3356.25,3
2008-01-02 06:22:00,3355.75,3355.75,3355.75,3355.75,1
2008-01-02 06:23:00,3355.75,3356.5,3355.75,3356.5,9
2008-01-02 06:25:00,3357.25,3357.25,3357.25,3357.25,1
